target,model,mae,rmse,r2
target_aqi_24h,random_forest,6.169308577440895,9.79654840190023,-0.019230908771273425
target_aqi_24h,current_aqi_baseline,6.4411764705882355,11.074834571419734,-0.3025694969181809
target_aqi_24h,ridge,8.891193046697373,12.35444681611496,-0.6209626822859589
target_aqi_48h,random_forest,8.530123421507831,11.41064709153031,-0.3221514011511446
target_aqi_48h,current_aqi_baseline,8.325980392156863,12.39455525624054,-0.559992599301399
target_aqi_48h,ridge,13.637534178105597,19.570177428075972,-2.889109475126676
target_aqi_72h,random_forest,8.741447784995904,12.0018034872219,-0.36287358595377084
target_aqi_72h,current_aqi_baseline,9.637254901960784,13.863126433449416,-0.8183811454584597
target_aqi_72h,ridge,16.505367034473505,21.289515771261186,-3.2883884588707186
