target,model,feature,display_feature,importance,method,rank
target_aqi_48h,random_forest,ozone_lag_12h,ozone lag 12h,0.0077895807312032715,mean_abs_shap,92
target_aqi_48h,random_forest,relative_humidity_2m_lag_24h,Humidity lag 24h,0.007631578868749806,mean_abs_shap,93
target_aqi_48h,random_forest,temperature_2m_lag_12h,Temperature lag 12h,0.007508462628249257,mean_abs_shap,94
target_aqi_48h,random_forest,pm10_lag_48h,PM10 lag 48h,0.007498893966867074,mean_abs_shap,95
target_aqi_48h,random_forest,wind_direction_10m_lag_12h,Wind direction lag 12h,0.007494207819198663,mean_abs_shap,96
target_aqi_48h,random_forest,wind_speed_10m_lag_12h,Wind speed lag 12h,0.007431965747031866,mean_abs_shap,97
target_aqi_48h,random_forest,temperature_2m_rolling_std_12h,Temperature rolling std 12h,0.007314157416769443,mean_abs_shap,98
target_aqi_48h,random_forest,temperature_2m_rolling_mean_12h,Temperature rolling mean 12h,0.007225988877719323,mean_abs_shap,99
target_aqi_48h,random_forest,wind_speed_10m_lag_3h,Wind speed lag 3h,0.007178667919376995,mean_abs_shap,100
target_aqi_48h,random_forest,carbon_monoxide_lag_3h,CO lag 3h,0.007023754541386193,mean_abs_shap,101
target_aqi_48h,random_forest,relative_humidity_2m_lag_3h,Humidity lag 3h,0.006997657389303123,mean_abs_shap,102
target_aqi_48h,random_forest,cloud_cover,Cloud cover,0.00698878466017403,mean_abs_shap,103
target_aqi_48h,random_forest,pressure_msl_lag_3h,Pressure lag 3h,0.0069521717784876425,mean_abs_shap,104
target_aqi_48h,random_forest,ozone_lag_24h,ozone lag 24h,0.006831955372818623,mean_abs_shap,105
target_aqi_48h,random_forest,wind_direction_10m_lag_3h,Wind direction lag 3h,0.00678880781012654,mean_abs_shap,106
target_aqi_48h,random_forest,sulphur_dioxide_lag_6h,SO2 lag 6h,0.006784607968754766,mean_abs_shap,107
target_aqi_48h,random_forest,wind_direction_10m_lag_1h,Wind direction lag 1h,0.006772284672445515,mean_abs_shap,108
target_aqi_48h,random_forest,sulphur_dioxide_lag_1h,SO2 lag 1h,0.006308117276002145,mean_abs_shap,109
target_aqi_48h,random_forest,pm10_lag_6h,PM10 lag 6h,0.006284025044312568,mean_abs_shap,110
target_aqi_48h,random_forest,sulphur_dioxide,SO2,0.00624951050551188,mean_abs_shap,111
target_aqi_48h,random_forest,wind_speed_10m_lag_6h,Wind speed lag 6h,0.006228715182326948,mean_abs_shap,112
target_aqi_48h,random_forest,relative_humidity_2m_lag_12h,Humidity lag 12h,0.0060862710177511,mean_abs_shap,113
target_aqi_48h,random_forest,ozone_lag_3h,ozone lag 3h,0.006070357931645227,mean_abs_shap,114
target_aqi_48h,random_forest,sulphur_dioxide_lag_3h,SO2 lag 3h,0.005995317468642588,mean_abs_shap,115
target_aqi_48h,random_forest,carbon_monoxide_lag_72h,CO lag 72h,0.0059338085054595775,mean_abs_shap,116
target_aqi_48h,random_forest,wind_speed_10m_rolling_mean_3h,Wind speed rolling mean 3h,0.005734221427293949,mean_abs_shap,117
target_aqi_48h,random_forest,cloud_cover_lag_6h,Cloud cover lag 6h,0.0056365172589710934,mean_abs_shap,118
target_aqi_48h,random_forest,pm10_lag_12h,PM10 lag 12h,0.005621168073143382,mean_abs_shap,119
target_aqi_48h,random_forest,temperature_2m_lag_72h,Temperature lag 72h,0.00561043104301816,mean_abs_shap,120
target_aqi_48h,random_forest,pm10_lag_24h,PM10 lag 24h,0.005567936300671752,mean_abs_shap,121
target_aqi_48h,random_forest,temperature_2m_rolling_mean_3h,Temperature rolling mean 3h,0.005547972388642137,mean_abs_shap,122
target_aqi_48h,random_forest,ozone_lag_1h,ozone lag 1h,0.005453415999380085,mean_abs_shap,123
target_aqi_48h,random_forest,temperature_2m_lag_3h,Temperature lag 3h,0.0053975812102471975,mean_abs_shap,124
target_aqi_48h,random_forest,wind_speed_10m_rolling_std_6h,Wind speed rolling std 6h,0.005236181117711659,mean_abs_shap,125
target_aqi_48h,random_forest,hour,hour,0.005196557254811808,mean_abs_shap,126
target_aqi_48h,random_forest,wind_speed_10m_lag_1h,Wind speed lag 1h,0.005177789553020092,mean_abs_shap,127
target_aqi_48h,random_forest,relative_humidity_2m_lag_48h,Humidity lag 48h,0.00517038294227466,mean_abs_shap,128
target_aqi_48h,random_forest,nitrogen_dioxide_lag_24h,NO2 lag 24h,0.005147186105291323,mean_abs_shap,129
target_aqi_48h,random_forest,wind_speed_10m,Wind speed,0.005110836179180732,mean_abs_shap,130
target_aqi_48h,random_forest,pm2_5_lag_24h,PM2.5 lag 24h,0.004987017454714427,mean_abs_shap,131
target_aqi_48h,random_forest,wind_direction_10m,Wind direction,0.004958395194502351,mean_abs_shap,132
target_aqi_48h,random_forest,wind_speed_10m_lag_24h,Wind speed lag 24h,0.0049355144195264095,mean_abs_shap,133
target_aqi_48h,random_forest,pm10_rolling_std_3h,PM10 rolling std 3h,0.004867013520709053,mean_abs_shap,134
target_aqi_48h,random_forest,wind_direction_10m_lag_48h,Wind direction lag 48h,0.004860308569461439,mean_abs_shap,135
target_aqi_48h,random_forest,pm2_5_lag_1h,PM2.5 lag 1h,0.004850106582226509,mean_abs_shap,136
target_aqi_48h,random_forest,relative_humidity_2m,Humidity,0.004672656451326274,mean_abs_shap,137
target_aqi_48h,random_forest,ozone,ozone,0.004646288441673141,mean_abs_shap,138
target_aqi_48h,random_forest,ozone_lag_48h,ozone lag 48h,0.004529318275665982,mean_abs_shap,139
target_aqi_48h,random_forest,relative_humidity_2m_lag_1h,Humidity lag 1h,0.004433949706374456,mean_abs_shap,140
target_aqi_48h,random_forest,carbon_monoxide_lag_48h,CO lag 48h,0.004386575046528617,mean_abs_shap,141
target_aqi_48h,random_forest,nitrogen_dioxide_lag_72h,NO2 lag 72h,0.004226800378336159,mean_abs_shap,142
target_aqi_48h,random_forest,pm2_5_lag_3h,PM2.5 lag 3h,0.004133890992476128,mean_abs_shap,143
target_aqi_48h,random_forest,pm2_5_lag_6h,PM2.5 lag 6h,0.0040964951984989876,mean_abs_shap,144
target_aqi_48h,random_forest,carbon_monoxide_lag_6h,CO lag 6h,0.0038360439970863106,mean_abs_shap,145
target_aqi_48h,random_forest,carbon_monoxide_lag_12h,CO lag 12h,0.0038354837303573555,mean_abs_shap,146
target_aqi_48h,random_forest,wind_direction_10m_lag_6h,Wind direction lag 6h,0.003797129956490858,mean_abs_shap,147
target_aqi_48h,random_forest,wind_direction_10m_lag_24h,Wind direction lag 24h,0.0036844360955047306,mean_abs_shap,148
target_aqi_48h,random_forest,pm2_5_rolling_std_6h,PM2.5 rolling std 6h,0.003672580574802013,mean_abs_shap,149
target_aqi_48h,random_forest,temperature_2m_lag_6h,Temperature lag 6h,0.003577853269780034,mean_abs_shap,150
target_aqi_48h,random_forest,temperature_2m_rolling_std_6h,Temperature rolling std 6h,0.0035730555384884616,mean_abs_shap,151
target_aqi_48h,random_forest,pm2_5_change_1h,PM2.5 change 1h,0.0034961210081905694,mean_abs_shap,152
target_aqi_48h,random_forest,pm10_change_1h,PM10 change 1h,0.0032780598253363833,mean_abs_shap,153
target_aqi_48h,random_forest,temperature_2m,Temperature,0.0032159559338866537,mean_abs_shap,154
target_aqi_48h,random_forest,nitrogen_dioxide_lag_1h,NO2 lag 1h,0.0031828017972216666,mean_abs_shap,155
target_aqi_48h,random_forest,relative_humidity_2m_lag_6h,Humidity lag 6h,0.003167873172752189,mean_abs_shap,156
target_aqi_48h,random_forest,nitrogen_dioxide,NO2,0.0030306526458980004,mean_abs_shap,157
target_aqi_48h,random_forest,carbon_monoxide_lag_1h,CO lag 1h,0.0030102790641563185,mean_abs_shap,158
target_aqi_48h,random_forest,nitrogen_dioxide_lag_48h,NO2 lag 48h,0.0029950396897553025,mean_abs_shap,159
target_aqi_48h,random_forest,temperature_2m_lag_24h,Temperature lag 24h,0.0029612834832907172,mean_abs_shap,160
target_aqi_48h,random_forest,nitrogen_dioxide_lag_12h,NO2 lag 12h,0.0028937078565847347,mean_abs_shap,161
target_aqi_48h,random_forest,pm2_5_rolling_std_3h,PM2.5 rolling std 3h,0.0028457158519114133,mean_abs_shap,162
target_aqi_48h,random_forest,cloud_cover_lag_1h,Cloud cover lag 1h,0.0028126698118970594,mean_abs_shap,163
target_aqi_48h,random_forest,carbon_monoxide,CO,0.002736127386632289,mean_abs_shap,164
target_aqi_48h,random_forest,nitrogen_dioxide_lag_3h,NO2 lag 3h,0.0027178475538285596,mean_abs_shap,165
target_aqi_48h,random_forest,temperature_2m_lag_1h,Temperature lag 1h,0.002531778209126948,mean_abs_shap,166
target_aqi_48h,random_forest,carbon_monoxide_lag_24h,CO lag 24h,0.0024928996422486044,mean_abs_shap,167
target_aqi_48h,random_forest,temperature_2m_rolling_std_3h,Temperature rolling std 3h,0.0024730196678812606,mean_abs_shap,168
target_aqi_48h,random_forest,relative_humidity_2m_lag_72h,Humidity lag 72h,0.0023982015454534905,mean_abs_shap,169
target_aqi_48h,random_forest,nitrogen_dioxide_lag_6h,NO2 lag 6h,0.0021442199506245883,mean_abs_shap,170
target_aqi_48h,random_forest,wind_speed_10m_rolling_std_3h,Wind speed rolling std 3h,0.002070168780194199,mean_abs_shap,171
target_aqi_48h,random_forest,us_aqi_rolling_std_3h,US AQI rolling std 3h,0.0017589068488931656,mean_abs_shap,172
target_aqi_48h,random_forest,precipitation_lag_6h,precipitation lag 6h,0.0007775965752975423,mean_abs_shap,173
target_aqi_48h,random_forest,precipitation_lag_24h,precipitation lag 24h,0.00038217784356491924,mean_abs_shap,174
target_aqi_48h,random_forest,precipitation_lag_3h,precipitation lag 3h,0.000362535863945845,mean_abs_shap,175
target_aqi_48h,random_forest,precipitation,precipitation,0.00034827448796649293,mean_abs_shap,176
target_aqi_48h,random_forest,aqi_change_1h,AQI change 1h,0.00032568834217978524,mean_abs_shap,177
target_aqi_48h,random_forest,precipitation_lag_48h,precipitation lag 48h,0.00019873672439630846,mean_abs_shap,178
target_aqi_48h,random_forest,precipitation_lag_72h,precipitation lag 72h,0.00018513829932366007,mean_abs_shap,179
target_aqi_48h,random_forest,precipitation_lag_12h,precipitation lag 12h,0.00010439896322285583,mean_abs_shap,180
target_aqi_48h,random_forest,precipitation_lag_1h,precipitation lag 1h,3.7764202681054184e-05,mean_abs_shap,181
target_aqi_48h,random_forest,latitude,latitude,0.0,mean_abs_shap,182
target_aqi_48h,random_forest,longitude,longitude,0.0,mean_abs_shap,183
